fold,label_fraction,split,total_users,max_abs_frac_diff,mean_abs_frac_diff
0,0.01,overall,509,0.0,0.0
0,0.01,train_pool,407,0.006024241780626827,0.004057191679981455
0,0.01,train_fraction,4,0.4906679764243615,0.24533398821218075
0,0.01,val,102,0.024037905928579684,0.01618899033090644
0,0.05,overall,509,0.0,0.0
0,0.05,train_pool,407,0.006024241780626827,0.004057191679981455
0,0.05,train_fraction,20,0.14066797642436152,0.07033398821218076
0,0.05,val,102,0.024037905928579684,0.01618899033090644
0,0.10,overall,509,0.0,0.0
0,0.10,train_pool,407,0.006024241780626827,0.004057191679981455
0,0.10,train_fraction,41,0.05831616272940726,0.04906799559154728
0,0.10,val,102,0.024037905928579684,0.01618899033090644
0,0.25,overall,509,0.0,0.0
0,0.25,train_pool,407,0.006024241780626827,0.004057191679981455
0,0.25,train_fraction,102,0.05751377171693822,0.028756885858469118
0,0.25,val,102,0.024037905928579684,0.01618899033090644
0,0.50,overall,509,0.0,0.0
0,0.50,train_pool,407,0.006024241780626827,0.004057191679981455
0,0.50,train_fraction,204,0.003592203089487267,0.0017961015447436335
0,0.50,val,102,0.024037905928579684,0.01618899033090644
0,1.00,overall,509,0.0,0.0
0,1.00,train_pool,407,0.006024241780626827,0.004057191679981455
0,1.00,train_fraction,407,0.006024241780626827,0.004057191679981455
0,1.00,val,102,0.024037905928579684,0.01618899033090644
1,0.01,overall,509,0.0,0.0
1,0.01,train_pool,407,0.006024241780626827,0.004057191679981455
1,0.01,train_fraction,4,0.4179764243614931,0.20898821218074656
1,0.01,val,102,0.024037905928579684,0.01618899033090644
1,0.05,overall,509,0.0,0.0
1,0.05,train_pool,407,0.006024241780626827,0.004057191679981455
1,0.05,train_fraction,20,0.10520628683693516,0.08226915520628683
1,0.05,val,102,0.024037905928579684,0.01618899033090644
1,0.10,overall,509,0.0,0.0
1,0.10,train_pool,407,0.006024241780626827,0.004057191679981455
1,0.10,train_fraction,41,0.10642579903205711,0.07017585892951267
1,0.10,val,102,0.024037905928579684,0.01618899033090644
1,0.25,overall,509,0.0,0.0
1,0.25,train_pool,407,0.006024241780626827,0.004057191679981455
1,0.25,train_fraction,102,0.047709850148310806,0.023854925074155396
1,0.25,val,102,0.024037905928579684,0.01618899033090644
1,0.50,overall,509,0.0,0.0
1,0.50,train_pool,407,0.006024241780626827,0.004057191679981455
1,0.50,train_fraction,204,0.008494163873800975,0.004247081936900501
1,0.50,val,102,0.024037905928579684,0.01618899033090644
1,1.00,overall,509,0.0,0.0
1,1.00,train_pool,407,0.006024241780626827,0.004057191679981455
1,1.00,train_fraction,407,0.006024241780626827,0.004057191679981455
1,1.00,val,102,0.024037905928579684,0.01618899033090644
2,0.01,overall,509,0.0,0.0
2,0.01,train_pool,407,0.02493688544769096,0.012468442723845473
2,0.01,train_fraction,4,0.25343811394891946,0.2043222003929273
2,0.01,val,102,0.0995030625216688,0.04975153126083439
2,0.05,overall,509,0.0,0.0
2,0.05,train_pool,407,0.02493688544769096,0.012468442723845473
2,0.05,train_fraction,20,0.05343811394891945,0.03138506876227898
2,0.05,val,102,0.0995030625216688,0.04975153126083439
2,0.10,overall,509,0.0,0.0
2,0.10,train_pool,407,0.02493688544769096,0.012468442723845473
2,0.10,train_fraction,41,0.1553021227658249,0.07765106138291245
2,0.10,val,102,0.0995030625216688,0.04975153126083439
2,0.25,overall,509,0.0,0.0
2,0.25,train_pool,407,0.02493688544769096,0.012468442723845473
2,0.25,train_fraction,102,0.04458954505181245,0.028024962440771982
2,0.25,val,102,0.0995030625216688,0.04975153126083439
2,0.50,overall,509,0.0,0.0
2,0.50,train_pool,407,0.02493688544769096,0.012468442723845473
2,0.50,train_fraction,204,0.013242035517546907,0.006621017758773454
2,0.50,val,102,0.0995030625216688,0.04975153126083439
2,1.00,overall,509,0.0,0.0
2,1.00,train_pool,407,0.02493688544769096,0.012468442723845473
2,1.00,train_fraction,407,0.02493688544769096,0.012468442723845473
2,1.00,val,102,0.0995030625216688,0.04975153126083439
3,0.01,overall,509,0.0,0.0
3,0.01,train_pool,407,0.013631777875392798,0.007023454960586574
3,0.01,train_fraction,4,0.25343811394891946,0.13138506876227898
3,0.01,val,102,0.05439346662043992,0.028024962440771996
3,0.05,overall,509,0.0,0.0
3,0.05,train_pool,407,0.013631777875392798,0.007023454960586574
3,0.05,train_fraction,20,0.2965618860510806,0.15726915520628684
3,0.05,val,102,0.05439346662043992,0.028024962440771996
3,0.10,overall,509,0.0,0.0
3,0.10,train_pool,407,0.013631777875392798,0.007023454960586574
3,0.10,train_fraction,41,0.03924481288034881,0.024102736115769796
3,0.10,val,102,0.05439346662043992,0.028024962440771996
3,0.25,overall,509,0.0,0.0
3,0.25,train_pool,407,0.013631777875392798,0.007023454960586574
3,0.25,train_fraction,102,0.02810200701105592,0.014051003505527952
3,0.25,val,102,0.05439346662043992,0.028024962440771996
3,0.50,overall,509,0.0,0.0
3,0.50,train_pool,407,0.013631777875392798,0.007023454960586574
3,0.50,train_fraction,204,0.011460379829731498,0.0064621133325628785
3,0.50,val,102,0.05439346662043992,0.028024962440771996
3,1.00,overall,509,0.0,0.0
3,1.00,train_pool,407,0.013631777875392798,0.007023454960586574
3,1.00,train_fraction,407,0.013631777875392798,0.007023454960586574
3,1.00,val,102,0.05439346662043992,0.028024962440771996
4,0.01,overall,509,0.0,0.0
4,0.01,train_pool,408,0.01371874879617857,0.00891309372471974
4,0.01,train_fraction,4,0.2593320235756385,0.20726915520628683
4,0.01,val,101,0.055418311968721434,0.036005368709758984
4,0.05,overall,509,0.0,0.0
4,0.05,train_pool,408,0.01371874879617857,0.00891309372471974
4,0.05,train_fraction,20,0.05343811394891945,0.0293222003929273
4,0.05,val,101,0.055418311968721434,0.036005368709758984
4,0.10,overall,509,0.0,0.0
4,0.10,train_pool,408,0.01371874879617857,0.00891309372471974
4,0.10,train_fraction,41,0.015525420480138025,0.012243039915664396
4,0.10,val,101,0.055418311968721434,0.036005368709758984
4,0.25,overall,509,0.0,0.0
4,0.25,train_pool,408,0.01371874879617857,0.00891309372471974
4,0.25,train_fraction,102,0.047709850148310806,0.023854925074155396
4,0.25,val,101,0.055418311968721434,0.036005368709758984
4,0.50,overall,509,0.0,0.0
4,0.50,train_pool,408,0.01371874879617857,0.00891309372471974
4,0.50,train_fraction,204,0.019135945144265948,0.013815054509033461
4,0.50,val,101,0.055418311968721434,0.036005368709758984
4,1.00,overall,509,0.0,0.0
4,1.00,train_pool,408,0.01371874879617857,0.00891309372471974
4,1.00,train_fraction,408,0.01371874879617857,0.00891309372471974
4,1.00,val,101,0.055418311968721434,0.036005368709758984
