fold,label_fraction,split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
0,0.05,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
0,0.05,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
0,0.05,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
0,0.05,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
0,0.05,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
0,0.05,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
0,0.05,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
0,0.05,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
0,0.05,train_fraction,light,3,0.15,79,0.15520628683693516,0.0052062868369351645
0,0.05,train_fraction,dark,8,0.4,132,0.2593320235756385,0.14066797642436152
0,0.05,train_fraction,unlabeled,6,0.3,169,0.3320235756385069,0.032023575638506885
0,0.05,train_fraction,medium,3,0.15,129,0.25343811394891946,0.10343811394891947
0,0.05,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
0,0.05,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
0,0.05,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
0,0.05,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
0,0.10,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
0,0.10,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
0,0.10,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
0,0.10,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
0,0.10,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
0,0.10,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
0,0.10,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
0,0.10,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
0,0.10,train_fraction,light,8,0.1951219512195122,79,0.15520628683693516,0.03991566438257704
0,0.10,train_fraction,dark,9,0.21951219512195122,132,0.2593320235756385,0.039819828453687284
0,0.10,train_fraction,unlabeled,16,0.3902439024390244,169,0.3320235756385069,0.05822032680051753
0,0.10,train_fraction,medium,8,0.1951219512195122,129,0.25343811394891946,0.05831616272940726
0,0.10,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
0,0.10,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
0,0.10,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
0,0.10,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
0,0.25,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
0,0.25,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
0,0.25,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
0,0.25,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
0,0.25,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
0,0.25,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
0,0.25,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
0,0.25,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
0,0.25,train_fraction,light,18,0.17647058823529413,79,0.15520628683693516,0.02126430139835897
0,0.25,train_fraction,dark,30,0.29411764705882354,132,0.2593320235756385,0.034785623483185035
0,0.25,train_fraction,unlabeled,28,0.27450980392156865,169,0.3320235756385069,0.05751377171693822
0,0.25,train_fraction,medium,26,0.2549019607843137,129,0.25343811394891946,0.0014638468353942446
0,0.25,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
0,0.25,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
0,0.25,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
0,0.25,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
0,0.50,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
0,0.50,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
0,0.50,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
0,0.50,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
0,0.50,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
0,0.50,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
0,0.50,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
0,0.50,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
0,0.50,train_fraction,light,32,0.1568627450980392,79,0.15520628683693516,0.0016564582611040546
0,0.50,train_fraction,dark,53,0.25980392156862747,132,0.2593320235756385,0.00047189799298896773
0,0.50,train_fraction,unlabeled,67,0.3284313725490196,169,0.3320235756385069,0.003592203089487267
0,0.50,train_fraction,medium,52,0.2549019607843137,129,0.25343811394891946,0.0014638468353942446
0,0.50,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
0,0.50,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
0,0.50,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
0,0.50,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
0,1.00,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
0,1.00,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
0,1.00,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
0,1.00,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
0,1.00,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
0,1.00,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
0,1.00,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
0,1.00,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
0,1.00,train_fraction,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
0,1.00,train_fraction,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
0,1.00,train_fraction,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
0,1.00,train_fraction,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
0,1.00,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
0,1.00,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
0,1.00,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
0,1.00,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
1,0.05,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
1,0.05,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
1,0.05,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
1,0.05,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
1,0.05,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
