fold,label_fraction,split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
0,0.01,train_pool,61-65,2,0.004914004914004914,2,0.003929273084479371,0.0009847318295255428
0,0.01,train_pool,66-67,0,0.0,1,0.0019646365422396855,0.0019646365422396855
0,0.01,train_fraction,10-11,0,0.0,21,0.0412573673870334,0.0412573673870334
0,0.01,train_fraction,12-13,0,0.0,37,0.07269155206286837,0.07269155206286837
0,0.01,train_fraction,14-15,1,0.25,57,0.11198428290766209,0.1380157170923379
0,0.01,train_fraction,16-17,0,0.0,37,0.07269155206286837,0.07269155206286837
0,0.01,train_fraction,18-19,0,0.0,20,0.03929273084479371,0.03929273084479371
0,0.01,train_fraction,20-21,0,0.0,24,0.047151277013752456,0.047151277013752456
0,0.01,train_fraction,22-23,0,0.0,22,0.043222003929273084,0.043222003929273084
0,0.01,train_fraction,24-25,0,0.0,15,0.029469548133595286,0.029469548133595286
0,0.01,train_fraction,26-27,1,0.25,17,0.03339882121807466,0.21660117878192534
0,0.01,train_fraction,28-29,1,0.25,21,0.0412573673870334,0.2087426326129666
0,0.01,train_fraction,30-31,0,0.0,11,0.021611001964636542,0.021611001964636542
0,0.01,train_fraction,32-33,0,0.0,18,0.03536345776031434,0.03536345776031434
0,0.01,train_fraction,34-35,0,0.0,22,0.043222003929273084,0.043222003929273084
0,0.01,train_fraction,36-37,0,0.0,20,0.03929273084479371,0.03929273084479371
0,0.01,train_fraction,38-39,0,0.0,13,0.025540275049115914,0.025540275049115914
0,0.01,train_fraction,40-41,0,0.0,14,0.0275049115913556,0.0275049115913556
0,0.01,train_fraction,42-43,1,0.25,23,0.04518664047151277,0.20481335952848723
0,0.01,train_fraction,44-45,0,0.0,12,0.023575638506876228,0.023575638506876228
0,0.01,train_fraction,46-47,0,0.0,17,0.03339882121807466,0.03339882121807466
0,0.01,train_fraction,48-49,0,0.0,14,0.0275049115913556,0.0275049115913556
0,0.01,train_fraction,50,0,0.0,10,0.019646365422396856,0.019646365422396856
0,0.01,train_fraction,51-55,0,0.0,33,0.06483300589390963,0.06483300589390963
0,0.01,train_fraction,56-60,0,0.0,28,0.0550098231827112,0.0550098231827112
0,0.01,train_fraction,61-65,0,0.0,2,0.003929273084479371,0.003929273084479371
0,0.01,train_fraction,66-67,0,0.0,1,0.0019646365422396855,0.0019646365422396855
0,0.01,val,10-11,5,0.049019607843137254,21,0.0412573673870334,0.007762240456103853
0,0.01,val,12-13,8,0.0784313725490196,37,0.07269155206286837,0.005739820486151237
0,0.01,val,14-15,12,0.11764705882352941,57,0.11198428290766209,0.005662775915867321
0,0.01,val,16-17,7,0.06862745098039216,37,0.07269155206286837,0.004064101082476207
