fold,label_fraction,split,total_users,max_abs_frac_diff,mean_abs_frac_diff
2,0.25,train_pool,407,0.0015012333283453139,0.0007707940124443064
2,0.25,train_fraction,102,0.013868022651103665,0.005915482106398552
2,0.25,val,102,0.0059902153395739455,0.0030756192457336573
2,0.50,overall,509,0.0,0.0
2,0.50,train_pool,407,0.0015012333283453139,0.0007707940124443064
2,0.50,train_fraction,204,0.008966061866789943,0.003058669440271197
2,0.50,val,102,0.0059902153395739455,0.0030756192457336573
2,1.00,overall,509,0.0,0.0
2,1.00,train_pool,407,0.0015012333283453139,0.0007707940124443064
2,1.00,train_fraction,407,0.0015012333283453139,0.0007707940124443064
2,1.00,val,102,0.0059902153395739455,0.0030756192457336573
3,0.01,overall,509,0.0,0.0
3,0.01,train_pool,407,0.001979117892673885,0.0008889618319873716
3,0.01,train_fraction,4,0.23035363457760313,0.06648330058939096
3,0.01,val,102,0.007897068454100698,0.0035471320158711817
3,0.05,overall,509,0.0,0.0
3,0.05,train_pool,407,0.001979117892673885,0.0008889618319873716
3,0.05,train_fraction,20,0.1351669941060904,0.03640864440078586
3,0.05,val,102,0.007897068454100698,0.0035471320158711817
3,0.10,overall,509,0.0,0.0
3,0.10,train_pool,407,0.001979117892673885,0.0008889618319873716
3,0.10,train_fraction,41,0.02242560736019934,0.007482869327710958
3,0.10,val,102,0.007897068454100698,0.0035471320158711817
3,0.25,overall,509,0.0,0.0
3,0.25,train_pool,407,0.001979117892673885,0.0008889618319873716
3,0.25,train_fraction,102,0.01394506722138758,0.005594976694017489
3,0.25,val,102,0.007897068454100698,0.0035471320158711817
3,0.50,overall,509,0.0,0.0
3,0.50,train_pool,407,0.001979117892673885,0.0008889618319873716
3,0.50,train_fraction,204,0.005836126199006125,0.0025994838013790977
3,0.50,val,102,0.007897068454100698,0.0035471320158711817
3,1.00,overall,509,0.0,0.0
3,1.00,train_pool,407,0.001979117892673885,0.0008889618319873716
3,1.00,train_fraction,407,0.001979117892673885,0.0008889618319873716
3,1.00,val,102,0.007897068454100698,0.0035471320158711817
4,0.01,overall,509,0.0,0.0
4,0.01,train_pool,408,0.001613120690319353,0.0008239916791864095
4,0.01,train_fraction,4,0.4567779960707269,0.06695481335952849
4,0.01,val,101,0.006516368729210839,0.003328600050574802
4,0.05,overall,509,0.0,0.0
4,0.05,train_pool,408,0.001613120690319353,0.0008239916791864095
4,0.05,train_fraction,20,0.07249508840864441,0.03333595284872299
4,0.05,val,101,0.006516368729210839,0.003328600050574802
4,0.10,overall,509,0.0,0.0
4,0.10,train_pool,408,0.001613120690319353,0.0008239916791864095
4,0.10,train_fraction,41,0.02242560736019934,0.007352532464420911
4,0.10,val,101,0.006516368729210839,0.003328600050574802
4,0.25,overall,509,0.0,0.0
4,0.25,train_pool,408,0.001613120690319353,0.0008239916791864095
4,0.25,train_fraction,102,0.01567857005277553,0.005918563889209909
4,0.25,val,101,0.006516368729210839,0.003328600050574802
4,0.50,overall,509,0.0,0.0
4,0.50,train_pool,408,0.001613120690319353,0.0008239916791864095
4,0.50,train_fraction,204,0.00694364189683732,0.0029138256481374475
4,0.50,val,101,0.006516368729210839,0.003328600050574802
4,1.00,overall,509,0.0,0.0
4,1.00,train_pool,408,0.001613120690319353,0.0008239916791864095
4,1.00,train_fraction,408,0.001613120690319353,0.0008239916791864095
4,1.00,val,101,0.006516368729210839,0.003328600050574802
