split,total_users,max_abs_frac_diff,mean_abs_frac_diff
overall,369,0.0,0.0
fold_0,74,0.010986596352450015,0.004205214465937763
fold_1,74,0.011096462315974512,0.004384535923644418
fold_2,74,0.01076686442540101,0.004005687773559935
fold_3,74,0.010913352376767008,0.004195111848602177
fold_4,73,0.011285592307977873,0.006129244098298328
