split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
fold_1,24-25 | dark,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_1,24-25,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_1,26-27,3,0.04054054054054054,14,0.037940379403794036,0.0026001611367465066
fold_1,28-29 | light,2,0.02702702702702703,7,0.018970189701897018,0.00805683732513001
fold_1,28-29,1,0.013513513513513514,8,0.02168021680216802,0.008166703288654507
fold_1,30-31,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_1,32-33,2,0.02702702702702703,7,0.018970189701897018,0.00805683732513001
fold_1,34-35,1,0.013513513513513514,8,0.02168021680216802,0.008166703288654507
fold_1,36-37,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_1,38-39,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_1,40-41,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_1,42-43,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_1,44-45,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_1,46-47,2,0.02702702702702703,11,0.02981029810298103,0.0027832710759540004
fold_1,48-50,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_1,51-55 | light,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_1,51-55,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_1,56-65,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_2,10-11,4,0.05405405405405406,22,0.05962059620596206,0.005566542151908001
fold_2,12-13,8,0.10810810810810811,39,0.10569105691056911,0.0024170511975390024
fold_2,14-15,12,0.16216216216216217,60,0.16260162601626016,0.00043946385409798783
fold_2,16-17,8,0.10810810810810811,38,0.10298102981029811,0.005127078297810006
fold_2,18-19 | light,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_2,18-19 | tan,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_2,18-19 | dark,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_2,20-21 | light,2,0.02702702702702703,6,0.016260162601626018,0.01076686442540101
fold_2,20-21 | tan,1,0.013513513513513514,8,0.02168021680216802,0.008166703288654507
fold_2,20-21 | dark,2,0.02702702702702703,12,0.032520325203252036,0.0054932981762250074
fold_2,22-23,5,0.06756756756756757,24,0.06504065040650407,0.0025269171610634994
fold_2,24-25 | dark,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_2,24-25,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_2,26-27,3,0.04054054054054054,14,0.037940379403794036,0.0026001611367465066
fold_2,28-29 | light,2,0.02702702702702703,7,0.018970189701897018,0.00805683732513001
fold_2,28-29,1,0.013513513513513514,8,0.02168021680216802,0.008166703288654507
fold_2,30-31,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_2,32-33,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_2,34-35,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_2,36-37,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
