split,total_users,max_abs_frac_diff,mean_abs_frac_diff
overall,369,0.0,0.0
fold_0,74,0.04497180106936205,0.022485900534681018
fold_1,74,0.04801142606020653,0.024005713030103272
fold_2,74,0.08712370907492858,0.04356185453746429
fold_3,74,0.036182523987402015,0.029389145242803782
fold_4,73,0.031666481048372164,0.01711400675650592
